,count,year,author1,author2
0,6,2021,86/1498,228/8970
0,4,2018,86/1498,19/5112-8
0,7,2019,86/1498,19/5112-8
0,9,2020,86/1498,19/5112-8
0,6,2021,86/1498,19/5112-8
0,3,2020,86/1498,25/4120-4
0,6,2021,86/1498,25/4120-4
0,6,2021,86/1498,281/2492
0,6,2021,86/1498,88/20-1
0,3,2020,86/1498,267/5502
0,3,2021,86/1498,267/5502
0,3,2017,86/1498,203/9668
0,15,2018,86/1498,203/9668
0,6,2019,86/1498,203/9668
0,4,2020,16/3956,222/7878
0,12,2021,16/3956,222/7878
0,8,2022,16/3956,222/7878
0,26,2020,16/3956,29/11273
0,8,2021,16/3956,29/11273
0,8,2022,16/3956,29/11273
0,4,2020,16/3956,139/1433
0,4,2021,16/3956,139/1433
0,8,2021,16/3956,62/540
0,8,2022,16/3956,62/540
0,4,2021,16/3956,06/5141
0,4,2022,16/3956,06/5141
0,9,2020,16/3956,18/1099
0,4,2022,16/3956,18/1099
0,13,2020,16/3956,07/3111
0,4,2022,16/3956,07/3111
0,5,2020,16/3956,64/4136
0,4,2020,16/3956,72/51
0,5,2020,16/3956,20/8606
0,5,2020,16/3956,180/7292
0,2,2016,16/3956,71/11357-2
0,4,2017,16/3956,71/11357-2
0,2,2019,16/3956,71/11357-2
0,5,2020,16/3956,71/11357-2
0,2,2015,16/3956,160/0436
0,5,2018,16/3956,160/0436
0,2,2019,16/3956,160/0436
0,3,2018,16/3956,76/847
0,2,2012,16/3956,18/1411-5
0,2,2013,16/3956,18/1411-5
0,2,2017,16/3956,18/1411-5
0,6,2022,00/3379,178/5284
0,8,2014,00/3379,133/2245
0,6,2015,00/3379,133/2245
0,2,2017,00/3379,133/2245
0,8,2018,00/3379,133/2245
0,19,2019,00/3379,133/2245
0,20,2020,00/3379,133/2245
0,35,2021,00/3379,133/2245
0,22,2022,00/3379,133/2245
0,4,2018,00/3379,216/6149
0,12,2019,00/3379,216/6149
0,18,2020,00/3379,216/6149
0,8,2021,00/3379,216/6149
0,5,2022,00/3379,216/6149
0,4,2018,00/3379,58/2782sb
0,4,2019,00/3379,58/2782sb
0,10,2020,00/3379,58/2782sb
0,5,2022,00/3379,58/2782sb
0,4,2019,00/3379,167/2782
0,14,2020,00/3379,167/2782
0,5,2022,00/3379,167/2782
0,3,2019,00/3379,95/9050
0,6,2021,00/3379,95/9050
0,6,2022,00/3379,95/9050
0,6,2021,00/3379,303/4993
0,6,2022,00/3379,303/4993
0,6,2021,00/3379,81/10308
0,6,2022,00/3379,81/10308
0,6,2021,00/3379,148/1304
0,6,2022,00/3379,148/1304
0,10,2021,00/3379,64/6728
0,5,2022,00/3379,64/6728
0,10,2021,00/3379,208/0827
0,5,2022,00/3379,208/0827
0,10,2021,00/3379,208/0806
0,5,2022,00/3379,208/0806
0,2,2020,00/3379,266/1436
0,19,2021,00/3379,266/1436
0,3,2020,00/3379,270/8692
0,9,2021,00/3379,270/8692
0,2,2014,00/3379,143/4482
0,6,2015,00/3379,143/4482
0,4,2017,00/3379,143/4482
0,4,2018,00/3379,143/4482
0,8,2019,00/3379,143/4482
0,9,2020,00/3379,143/4482
0,11,2021,00/3379,143/4482
0,7,2018,06/4578,222/7878
0,3,2018,06/4578,06/5141
0,4,2007,06/4578,64/4136
0,2,2010,06/4578,64/4136
0,4,2020,06/4578,278/8463
0,6,2022,06/4578,278/8463
0,8,2022,06/4578,152/1011
0,4,2020,06/4578,156/1020
0,2,2021,06/4578,156/1020
0,8,2022,06/4578,156/1020
0,4,2020,06/4578,241/7773
0,8,2022,06/4578,241/7773
0,4,2020,06/4578,l/HofungLeung
0,8,2022,06/4578,l/HofungLeung
0,6,2022,06/4578,21/3113
0,6,2022,06/4578,144/1022
0,6,2022,06/4578,135/8173
0,6,2022,06/4578,s/ReidGSimmons
0,9,2018,06/4578,62/6555
0,6,2022,06/4578,62/6555
0,4,2021,06/4578,273/7157
0,3,2022,06/4578,273/7157
0,4,2020,06/4578,91/9826
0,3,2022,06/4578,91/9826
0,12,2019,06/4578,176/0245
0,2,2020,06/4578,176/0245
0,4,2021,06/4578,176/0245
0,4,2019,06/4578,125/4223
0,4,2021,06/4578,125/4223
0,4,2019,06/4578,96/1216
0,4,2021,06/4578,96/1216
0,3,2019,33/1903,o/BengChinOoi
0,13,2020,33/1903,o/BengChinOoi
0,5,2021,33/1903,o/BengChinOoi
0,14,2022,33/1903,o/BengChinOoi
